stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
after_recal,2026-07-31T18:59:50.764,10000,1,125.000000,250.000000,88.388348,236,10000,0,7657,61.479584,-63.520416,2.033195267,124.900000,-0.100000,249.900000,-0.100000,88.300000,-0.088348,1,0,3053,3210,0
after_recal,2026-07-31T18:59:50.764,10000,2,125.000000,250.000000,88.388348,238,10000,0,7650,61.423380,-63.576620,2.035055707,124.800000,-0.200000,249.700000,-0.300000,88.300000,-0.088348,1,0,3053,3210,0
after_recal,2026-07-31T18:59:50.764,10000,3,125.000000,250.000000,88.388348,240,10000,0,7667,61.559876,-63.440124,2.030543388,124.900000,-0.100000,249.700000,-0.300000,88.300000,-0.088348,1,0,3052,3210,0
after_recal,2026-07-31T18:59:52.070,250000,1,125.000000,250.000000,88.388348,254,250003,3,6966,55.931407,-69.068593,2.234880298,125.200000,0.200000,250.400000,0.400000,88.500000,0.111652,1,0,3059,3203,0
after_recal,2026-07-31T18:59:52.070,250000,2,125.000000,250.000000,88.388348,256,250002,2,6971,55.971553,-69.028447,2.233277314,125.100000,0.100000,250.200000,0.200000,88.500000,0.111652,1,0,3060,3203,0
after_recal,2026-07-31T18:59:52.070,250000,3,125.000000,250.000000,88.388348,258,250003,3,6958,55.867174,-69.132826,2.237449864,125.100000,0.100000,250.200000,0.200000,88.400000,0.011652,1,0,3060,3203,0
after_recal,2026-07-31T18:59:53.506,500000,1,125.000000,250.000000,88.388348,274,500000,0,5491,44.088337,-80.911663,2.835216929,125.000000,0.000000,250.000000,0.000000,88.400000,0.011652,1,0,3076,3186,0
after_recal,2026-07-31T18:59:53.506,500000,2,125.000000,250.000000,88.388348,276,500000,0,5488,44.064250,-80.935750,2.836766792,125.000000,0.000000,250.000000,0.000000,88.400000,0.011652,1,0,3076,3186,0
after_recal,2026-07-31T18:59:53.506,500000,3,125.000000,250.000000,88.388348,278,500000,0,5492,44.096366,-80.903634,2.834700684,125.000000,0.000000,250.000000,0.000000,88.400000,0.011652,1,0,3074,3187,0
