stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
50ohm_recal,2026-07-31T19:19:01.411,250000,1,125.000000,250.000000,88.388348,16052,250003,3,13823,110.987632,-14.012368,1.126251621,248.400000,123.400000,496.900000,246.900000,175.700000,87.311652,1,0,2988,3265,0
50ohm_recal,2026-07-31T19:19:01.411,250000,2,125.000000,250.000000,88.388348,16054,250003,3,13813,110.907340,-14.092660,1.127066977,248.300000,123.300000,496.700000,246.700000,175.600000,87.211652,1,0,2987,3267,0
50ohm_recal,2026-07-31T19:19:01.411,250000,3,125.000000,250.000000,88.388348,16056,250003,3,13823,110.987632,-14.012368,1.126251621,248.400000,123.400000,496.800000,246.800000,175.600000,87.211652,1,0,2987,3266,0
