stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
50ohm_recal,2026-07-31T19:19:03.438,500000,1,125.000000,250.000000,88.388348,16079,500000,0,10876,87.325579,-37.674421,1.431424803,247.700000,122.700000,495.500000,245.500000,175.200000,86.811652,1,0,3017,3236,0
50ohm_recal,2026-07-31T19:19:03.438,500000,2,125.000000,250.000000,88.388348,16081,500000,0,10892,87.454046,-37.545954,1.429322086,247.700000,122.700000,495.500000,245.500000,175.200000,86.811652,1,0,3020,3233,0
50ohm_recal,2026-07-31T19:19:03.438,500000,3,125.000000,250.000000,88.388348,16083,500000,0,10873,87.301492,-37.698508,1.431819751,247.700000,122.700000,495.300000,245.300000,175.100000,86.711652,1,0,3015,3237,0
