stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
50ohm_recal,2026-07-31T19:18:59.380,10000,1,125.000000,250.000000,88.388348,16024,10000,0,15199,122.035811,-2.964189,1.024289503,248.000000,123.000000,496.000000,246.000000,175.400000,87.011652,1,0,2972,3280,0
50ohm_recal,2026-07-31T19:18:59.380,10000,2,125.000000,250.000000,88.388348,16026,10000,0,15195,122.003694,-2.996306,1.024559142,247.900000,122.900000,495.800000,245.800000,175.300000,86.911652,1,0,2973,3281,0
50ohm_recal,2026-07-31T19:18:59.380,10000,3,125.000000,250.000000,88.388348,16028,10001,1,15182,121.899314,-3.100686,1.025436448,247.800000,122.800000,495.700000,245.700000,175.200000,86.811652,1,0,2972,3279,0
