stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
diagnostic_sine_50_highz,2026-07-31T18:54:26.967,60000,1,25.000000,50.000000,17.677670,8172,60000,0,1412,11.337230,-13.662770,2.205124102,11.700000,-13.300000,23.400000,-26.600000,8.300000,-9.377670,1,0,3115,3148,0
diagnostic_sine_50_highz,2026-07-31T18:54:26.967,60000,2,25.000000,50.000000,17.677670,8174,60002,2,1412,11.337230,-13.662770,2.205124102,11.700000,-13.300000,23.400000,-26.600000,8.300000,-9.377670,1,0,3115,3148,0
diagnostic_sine_50_highz,2026-07-31T18:54:26.967,60000,3,25.000000,50.000000,17.677670,8176,60002,2,1417,11.377376,-13.622624,2.197343141,11.700000,-13.300000,23.400000,-26.600000,8.300000,-9.377670,1,0,3115,3148,0
