name,jammer_frequency_hz,jammer_vpp_mv,generator_total_vpp_mv,expected_upp_mv,measured_upp_mv,upp_error_mv,expected_rms_mv,measured_rms_mv,rms_error_mv,expected_f1_hz,measured_f1_hz,f1_error_hz,expected_a1_peak_mv,measured_a1_peak_mv,a1_error_mv,expected_f2_hz,measured_f2_hz,f2_error_hz,expected_a2_peak_mv,measured_a2_peak_mv,a2_error_mv,measured_component_count,strict_match,signal_valid,measurement_elapsed_s,adc_overrun_max,pass
jammer_01mhz,1000000,200.0,363.0251713230084,250.0,252.5,2.5,72.98657531307474,73.7,0.713424686925265,250000.0,250003.0,3.0,84.55997574440367,85.3,0.7400242555963246,500000.0,500000.0,0.0,59.191983021082564,59.9,0.7080169789174349,2,True,1,1.2180000000007567,0,True
jammer_02mhz,2000000,200.0,449.9688556598328,250.0,252.2,2.1999999999999886,72.98657531307474,73.6,0.6134246869252564,250000.0,250003.0,3.0,84.55997574440367,85.2,0.6400242555963302,500000.0,500000.0,0.0,59.191983021082564,59.8,0.6080169789174334,2,True,1,1.25,0,True
jammer_03mhz,3000000,200.0,440.13467898352957,250.0,252.3,2.3000000000000114,72.98657531307474,73.6,0.6134246869252564,250000.0,250003.0,3.0,84.55997574440367,85.2,0.6400242555963302,500000.0,500000.0,0.0,59.191983021082564,59.8,0.6080169789174334,2,True,1,1.3280000000013388,0,True
jammer_04mhz,4000000,200.0,446.8409417445612,250.0,252.0,2.0,72.98657531307474,73.6,0.6134246869252564,250000.0,250003.0,3.0,84.55997574440367,85.2,0.6400242555963302,500000.0,500000.0,0.0,59.191983021082564,59.7,0.5080169789174391,2,True,1,1.2969999999986612,0,True
jammer_05mhz,5000000,200.0,449.34198396781915,250.0,251.4,1.4000000000000057,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.1,0.5400242555963217,500000.0,500000.0,0.0,59.191983021082564,59.4,0.20801697891743487,2,True,1,1.264999999999418,0,True
jammer_06mhz,6000000,200.0,445.61982987608667,250.0,250.8,0.8000000000000114,72.98657531307474,73.3,0.31342468692525927,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.2,0.008016978917439133,2,True,1,1.235000000000582,0,True
jammer_07mhz,7000000,200.0,449.55210858704135,250.0,250.7,0.6999999999999886,72.98657531307474,73.2,0.21342468692526495,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.2,0.008016978917439133,2,True,1,1.2809999999954016,0,True
jammer_08mhz,8000000,200.0,449.4582099261686,250.0,250.5,0.5,72.98657531307474,73.2,0.21342468692526495,250000.0,250003.0,3.0,84.55997574440367,84.9,0.3400242555963331,500000.0,500000.0,0.0,59.191983021082564,59.1,-0.09198302108256229,2,True,1,1.2810000000026776,0,True
jammer_09mhz,9000000,200.0,448.4232193793866,250.0,250.7,0.6999999999999886,72.98657531307474,73.2,0.21342468692526495,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.2,0.008016978917439133,2,True,1,1.3280000000013388,0,True
jammer_10mhz,10000000,200.0,449.589992504724,250.0,250.9,0.9000000000000057,72.98657531307474,73.3,0.31342468692525927,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.3,0.10801697891743345,2,True,1,1.2819999999992433,0,True
